"sfid","nfid","zm"
244,"Q-02-246","qro"
245,"L-07-131","len"
246,"L-10-053","len"
247,"L-08-552","len"
248,"L-04-915","len"
249,"Q-10-542","qro"
250,"L-00-171","len"
251,"Q-08-815","qro"
252,"Q-06-005","qro"
253,"L-04-124","len"
254,"Q-08-158","qro"
255,"Q-09-089","qro"
256,"Q-03-530","qro"
257,"L-02-680","len"
258,"Q-07-207","qro"
259,"L-06-528","len"
260,"L-07-225","len"
261,"L-07-114","len"
262,"Q-07-962","qro"
263,"L-09-460","len"
264,"Q-01-611","qro"
265,"L-03-900","len"
266,"L-04-307","len"
267,"Q-02-504","qro"
268,"L-09-916","len"
269,"L-09-194","len"
270,"Q-07-592","qro"
271,"Q-10-126","qro"
272,"L-09-607","len"
273,"L-09-528","len"
274,"Q-00-402","qro"
275,"L-05-948","len"
276,"Q-10-250","qro"
277,"L-05-933","len"
278,"L-05-113","len"
279,"Q-06-010","qro"
280,"L-01-781","len"
281,"Q-10-876","qro"
282,"L-10-167","len"
283,"Q-00-764","qro"
284,"Q-00-839","qro"
285,"Q-09-204","qro"
286,"L-08-836","len"
287,"L-05-115","len"
288,"Q-05-190","qro"
289,"Q-06-911","qro"
290,"L-01-443","len"
291,"Q-00-358","qro"
292,"L-05-999","len"
293,"Q-02-079","qro"
294,"L-07-739","len"
295,"Q-09-130","qro"
296,"Q-09-492","qro"
297,"L-02-268","len"
298,"L-01-442","len"
299,"Q-09-054","qro"
300,"L-02-943","len"
301,"Q-09-831","qro"
302,"Q-08-105","qro"
303,"Q-00-506","qro"
304,"Q-00-534","qro"
305,"L-02-726","len"
306,"L-03-426","len"
307,"Q-11-135","qro"
308,"Q-02-618","qro"
309,"Q-01-019","qro"
310,"L-02-037","len"
311,"Q-10-476","qro"
312,"L-03-826","len"
313,"Q-10-794","qro"
314,"L-08-273","len"
315,"Q-10-573","qro"
316,"Q-06-334","qro"
317,"L-03-055","len"
318,"L-08-575","len"
319,"Q-03-279","qro"
320,"L-00-868","len"
321,"L-05-587","len"
322,"Q-00-301","qro"
323,"Q-02-955","qro"
324,"Q-04-561","qro"
325,"Q-06-783","qro"
326,"Q-08-426","qro"
327,"Q-06-745","qro"
328,"Q-00-646","qro"
329,"Q-10-821","qro"
330,"L-08-773","len"
331,"Q-06-324","qro"
332,"Q-00-196","qro"
333,"L-06-055","len"
334,"Q-04-806","qro"
335,"Q-10-149","qro"
336,"L-06-871","len"
337,"Q-05-237","qro"
338,"L-09-626","len"
