sfid,nfid,zm,tipo 1,tipo2,descripcion ,observa,valida
116,L-10-016,len,privado,jardin institucional,industria,,
117,L-01-820,len,privado,jardin residencial,rural,,
118,Q-10-765,qro,privado,jardin residencial,rural,,
119,L-07-908,len,privado,jardin residencial,campestre,,
120,Q-11-262,qro,privado,agricola/cultivo,,,
121,Q-05-684,qro,privado,agricola/cultivo,,,
122,L-03-703,len,privado,baldio/zona de reserva,,,
123,L-09-425,len,privado,jardin residencial,rural,,
124,Q-09-207,qro,privado,jardin institucional,escuela,,
125,Q-06-359,qro,privado,jardin institucional,industrial,,
126,Q-02-999,qro,privado,jardin residencial,campestre,,
127,L-06-537,len,privado,baldio/zona de reserva,,,
128,Q-01-874,qro,privado,equipamiento urbano,residencial,,
129,L-08-879,len,privado,jardin institucional,escuela rural,,
130,Q-08-092,qro,privado,equipamiento urbano,escuela,,
131,L-05-127,len,privado,jardin institucional,industrial,,
132,L-00-938,len,publico,equipamiento urbano,arroyo,,
133,L-09-167,len,privado,jardin residencial,rural,,
134,Q-07-531,qro,privado,jardin residencial,,,
135,L-03-045,len,privado,parque,residencial,,
136,Q-11-128,qro,privado,agricola/cultivo,,,
137,L-04-077,len,privado,jardin residencial,,,
138,Q-11-245,qro,privado,agricola/cultivo,,,
139,L-09-325,len,privado,jardin residencial,campestre,,
140,Q-01-549,qro,privado,parque,residencial,,
141,Q-03-668,qro,privado,jardin residencial,,,
142,L-02-534,len,privado,jardin residencial,campestre,,
143,Q-03-531,qro,privado,jardin residencial,rural,,
144,L-05-785,len,privado,baldio/zona de reserva,,,
145,L-09-551,len,privado,parque,residencial,,
146,Q-10-665,qro,privado,baldio/zona de reserva,comercial,gasera,
147,Q-11-061,qro,privado,jardin residencial,campestre,,
148,Q-00-974,qro,privado,equipamiento urbano,residencial,,
149,Q-06-018,qro,privado,baldio/zona de reserva,,,
150,Q-06-442,qro,privado,jardin institucional,industrial,,
151,L-01-809,len,privado,baldio/zona de reserva,,,
152,Q-05-212,qro,privado,jardin residencial,campestre,,
