sfid,nfid,zm,tipo 1,tipo2,descripcion ,observa,valida
495,L-10-008,len,privado,jardin residencial,campestre,,
496,Q-00-212,qro,privado,equipamiento urbano,arbolado,residencial,
497,Q-09-291,qro,privado,jardin institucional,comercial,hotel/Quinta,
498,L-02-181,len,privado,jardin residencial,,,
499,L-07-823,len,privado,jardin institucional,comercial,patio de servicios construcción,
500,L-10-041,len,privado,agricola/cultivo,,incluye jardín residencial,
501,Q-06-985,qro,privado,baldio/zona de reserva,,,
502,Q-10-150,qro,privado,baldio/zona de reserva,,,
503,L-03-505,len,privado,jardin institucional,comercial,patio de servicio,
504,Q-05-263,qro,privado,equipamiento urbano,arbolado,residencial,
505,L-01-244,len,privado,jardin institucional,casa hogar ancianos,,
506,L-09-301,len,privado,jardin residencial,rural,,
507,Q-02-859,qro,privado,jardin residencial,rural,,
508,Q-08-839,qro,privado,jardin residencial,residencial,,
509,L-06-109,len,privado,jardin residencial,residencial,zona campestre herradura,
510,L-08-442,len,privado,agricola/cultivo,arbolado,,
511,L-03-083,len,privado,agricola/cultivo,arbolado,,
512,Q-05-750,qro,privado,agricola/cultivo,arbolado,,
513,Q-07-377,qro,privado,jardin institucional,comercial,salón de fiestas,
514,L-08-676,len,privado,baldio/zona de reserva,arbolado,,
515,L-01-040,len,privado,jardin institucional,residencial,casa muestra,
516,Q-10-994,qro,privado,baldio/zona de reserva,rural,,
517,L-02-508,len,privado,baldio/zona de reserva,,,
518,L-01-913,len,privado,baldio/zona de reserva,,,
519,L-06-161,len,privado,jardin residencial,rural,,
520,L-09-751,len,privado,baldio/zona de reserva,residencial,,
521,Q-04-808,qro,privado,jardin residencial,rural,,
522,Q-05-536,qro,privado,baldio/zona de reserva,rural,,
523,Q-04-092,qro,privado,jardin residencial,,,
524,L-02-045,len,privado,baldio/zona de reserva,arbolado,residencial,
525,Q-10-238,qro,privado,agricola/cultivo,arbolado,,
526,L-00-926,len,publico,equipamiento urbano,camellón,,
527,L-02-776,len,privado,deportivo,escuela,Instituto Cumbres,
528,Q-03-954,qro,privado,jardin residencial,,,
529,Q-07-776,qro,privado,equipamiento urbano,canal,,
530,Q-06-153,qro,privado,jardin residencial,,,
531,Q-09-758,qro,privado,jardin residencial,rural,,
532,Q-08-207,qro,privado,jardin institucional,comercial,salón de fiestas,
533,Q-09-740,qro,privado,baldio/zona de reserva,residencial,toma parte de jardín de departamentos,
534,L-09-635,len,privado,jardin residencial,rural,,
535,Q-00-666,qro,publico,equipamiento urbano,camellón,,
536,L-04-549,len,privado,jardin institucional,industrial,,
537,L-00-661,len,privado,baldio/zona de reserva,,toma parte de jardín residencial,
538,Q-01-080,qro,privado,equipamiento urbano,arroyo,,
539,Q-07-582,qro,privado,jardin residencial,,,
540,Q-03-420,qro,privado,baldio/zona de reserva,,,
541,Q-10-682,qro,privado,jardin residencial,rural,,
542,L-00-848,len,publico,equipamiento urbano,arbolado,,
543,L-08-840,len,privado,jardin residencial,campestre,,
544,L-01-248,len,privado,equipamiento urbano,arroyo,,
545,L-07-937,len,privado,equipamiento urbano,arroyo,,
546,L-06-984,len,privado,baldio/zona de reserva,arbolado,,
547,Q-04-684,qro,privado,jardin institucional,comercial,,
548,Q-07-583,qro,privado,parque,residencial,,
549,L-08-661,len,privado,baldio/zona de reserva,arbolado,,
550,L-09-372,len,privado,jardin residencial,rural,,
551,L-05-172,len,privado,agricola/cultivo,,,
552,L-08-548,len,privado,baldio/zona de reserva,,presa,
553,Q-09-707,qro,privado,jardin residencial,,,
554,L-09-217,len,privado,jardin residencial,rural,,
555,Q-05-109,qro,privado,jardin institucional,comercial,salón de fiestas,
556,Q-08-438,qro,privado,baldio/zona de reserva,,,
557,Q-00-671,qro,privado,parque,residencial,,
558,L-10-339,len,publico,parque,deportivo,,
559,L-05-660,len,privado,jardin residencial,campestre,,
560,Q-00-074,qro,privado,equipamiento urbano,arroyo,,
561,Q-04-003,qro,privado,jardin residencial,,,
562,Q-03-447,qro,publico,parque,,jardín cactaceas parque bicentenario,
563,L-01-736,len,privado,jardin residencial,rural,,
564,Q-11-100,qro,privado,baldio/zona de reserva,,,
565,L-04-285,len,privado,jardin residencial,rural,,
566,L-07-258,len,privado,jardin institucional,comercial,granja vacas,
567,L-08-335,len,privado,baldio/zona de reserva,arbolado,,
568,L-01-184,len,publico,equipamiento urbano,camellón,,
569,Q-10-469,qro,privado,jardin residencial,rural,,
570,Q-07-280,qro,privado,jardin institucional,residencial,salón de fiestas,
571,L-06-317,len,privado,baldio/zona de reserva,,,
572,Q-03-694,qro,privado,jardin residencial,rural,,
573,Q-00-895,qro,privado,baldio/zona de reserva,,,
574,L-01-213,len,publico,equipamiento urbano,canal,,
575,Q-02-732,qro,privado,agricola/cultivo,arbolado,,
576,L-00-968,len,publico,equipamiento urbano,camellón,,
577,Q-05-412,qro,privado,jardin residencial,rural,,
578,L-00-395,len,privado,equipamiento urbano,arroyo,,
579,L-06-932,len,privado,jardin residencial,campestre,,
580,Q-00-202,qro,privado,equipamiento urbano,residencial,,
581,L-05-070,len,privado,jardin institucional,comercial,patio de servicio,
582,Q-02-954,qro,privado,jardin residencial,rural,,
583,L-06-449,len,privado,jardin institucional,comercial,Coorporativo Caja Popular Mexicana,
584,Q-10-880,qro,privado,jardin residencial,rural,,
585,Q-06-340,qro,privado,baldio/zona de reserva,,,
586,Q-03-597,qro,privado,baldio/zona de reserva,,,
587,L-07-565,len,privado,jardin residencial,rural,,
588,L-00-490,len,privado,baldio/zona de reserva,,,
589,Q-04-665,qro,privado,jardin institucional,comercial,bodegas,
590,L-08-573,len,privado,agricola/cultivo,arbolado,,
591,L-02-398,len,privado,jardin institucional,comercial,plaza comercial,
592,L-04-561,len,privado,jardin residencial,,,
593,L-01-713,len,privado,baldio/zona de reserva,arbolado,borde presa,
594,L-00-306,len,publico,equipamiento urbano,camellón,,
595,Q-00-527,qro,privado,baldio/zona de reserva,,,
596,L-01-397,len,privado,baldio/zona de reserva,arbolado,,
597,L-00-500,len,publico,equipamiento urbano,camellón,,
598,L-00-617,len,privado,parque,residencial,,
599,L-03-187,len,privado,jardin residencial,,,
600,L-04-094,len,privado,jardin residencial,,,
601,Q-09-689,qro,privado,jardin institucional,comercial,patio de servicio,
602,NA,NA,,,,,
603,Q-04-788,qro,privado,jardin residencial,rural,,
604,L-01-381,len,privado,equipamiento urbano,,,
605,L-03-970,len,privado,baldio/zona de reserva,residencial,arbolado,
606,Q-06-482,qro,privado,jardin institucional,industrial,,
607,Q-05-025,qro,privado,jardin residencial,,,
608,L-05-475,len,privado,agricola/cultivo,,,
609,L-02-394,len,privado,jardin residencial,residencial,,
610,L-08-103,len,privado,equipamiento urbano,industrial,,
611,Q-05-775,qro,privado,baldio/zona de reserva,arbolado,,
612,L-10-304,len,privado,agricola/cultivo,arbolado,,
613,L-09-790,len,privado,agricola/cultivo,arbolado,,
614,L-05-836,len,privado,jardin residencial,campestre,,
615,L-03-490,len,privado,jardin residencial,campestre,,
616,L-03-318,len,privado,parque,residencial,,
617,L-08-979,len,privado,baldio/zona de reserva,arbolado,,
618,Q-01-527,qro,privado,baldio/zona de reserva,,,
619,L-02-750,len,privado,equipamiento urbano,arroyo,,
620,Q-10-460,qro,privado,jardin residencial,rural,,
621,L-04-037,len,privado,agricola/cultivo,arbolado,,
622,L-03-173,len,privado,baldio/zona de reserva,,,
623,L-09-110,len,privado,jardin residencial,rural,,
624,L-04-402,len,privado,parque,residencial,,
625,L-05-430,len,privado,jardin institucional,planta de tratamiento,,
626,Q-02-279,qro,privado,agricola/cultivo,arbolado,,
627,Q-10-555,qro,privado,jardin residencial,campestre,,
628,L-09-938,len,privado,equipamiento urbano,arroyo,,
629,Q-10-878,qro,privado,agricola/cultivo,,se mezcla con jardin residencial rural,
630,Q-01-089,qro,publico,equipamiento urbano,arbolado,,
631,L-04-062,len,privado,jardin institucional,escuela,instituto Lux,
632,Q-03-751,qro,privado,jardin residencial,,,
633,Q-02-804,qro,privado,baldio/zona de reserva,,,
634,L-00-422,len,publico,equipamiento urbano,arbolado,,
635,Q-10-375,qro,privado,jardin residencial,rural,,
636,L-08-852,len,privado,jardin institucional,escuela,,
637,Q-02-138,qro,privado,jardin residencial,,,
638,Q-00-109,qro,privado,equipamiento urbano,arroyo,,
639,Q-07-107,qro,privado,jardin residencial,popular,,
640,L-00-111,len,privado,equipamiento urbano,residencial,,
641,L-05-035,len,privado,baldio/zona de reserva,arbolado,,
642,Q-04-235,qro,privado,baldio/zona de reserva,,,
643,L-09-258,len,privado,jardin residencial,rural,,
644,L-02-762,len,privado,jardin residencial,,,
645,Q-04-018,qro,privado,jardin residencial,,,
646,Q-03-956,qro,privado,jardin residencial,,,
647,Q-05-905,qro,privado,jardin residencial,rural,,
648,L-04-426,len,privado,jardin institucional,panteón,,
649,L-06-088,len,privado,agricola/cultivo,,,
650,Q-01-472,qro,publico,equipamiento urbano,camellón,,
651,L-07-840,len,privado,jardin residencial,campestre,,
652,Q-03-940,qro,privado,jardin residencial,residencial,,
653,Q-06-419,qro,privado,jardin residencial,residencial,,
654,Q-05-622,qro,publico,equipamiento urbano,arbolado,,
655,Q-06-085,qro,privado,jardin institucional,industrial,,
656,L-08-364,len,privado,jardin residencial,campestre,,
657,L-01-294,len,publico,equipamiento urbano,arbolado,,
658,L-00-421,len,publico,equipamiento urbano,glorieta,,
659,Q-04-020,qro,privado,jardin institucional,tianguis,,
660,L-03-158,len,privado,baldio/zona de reserva,arroyo,,
661,L-07-493,len,privado,agricola/cultivo,,,
662,L-02-070,len,privado,baldio/zona de reserva,,,
663,L-05-750,len,privado,baldio/zona de reserva,cañada,,
664,Q-09-673,qro,privado,jardin institucional,iglesia,,
665,Q-03-110,qro,privado,baldio/zona de reserva,,,
666,L-01-179,len,privado,baldio/zona de reserva,arroyo,,
667,Q-07-971,qro,privado,jardin residencial,rural,,
668,L-00-943,len,publico,parque,,,
669,L-04-835,len,privado,baldio/zona de reserva,,,
670,Q-08-021,qro,privado,baldio/zona de reserva,,,
671,L-10-332,len,privado,jardin residencial,rural,,
672,L-06-606,len,privado,jardin residencial,campestre,,
673,L-10-066,len,privado,jardin institucional,comercial,bodega,
674,L-10-159,len,privado,baldio/zona de reserva,,,
675,Q-06-706,qro,privado,jardin institucional,escuela,,
676,Q-02-223,qro,privado,equipamiento urbano,balneario,,
677,L-07-084,len,privado,jardin residencial,campestre,se mezcla la capa con baldio,
678,L-01-154,len,privado,jardin residencial,campestre,se mezcla la capa con baldio,
679,L-04-997,len,privado,parque,residencial,,
680,L-03-077,len,privado,parque,residencial,,
681,L-03-774,len,privado,jardin residencial,rural,arbolado,
682,L-01-051,len,privado,baldio/zona de reserva,cañada,arbolado,
683,L-05-011,len,privado,jardin residencial,,,
684,Q-01-574,qro,publico,equipamiento urbano,,arbolado,
685,L-02-335,len,privado,agricola/cultivo,,,
686,Q-04-504,qro,privado,jardin residencial,,se mezcla la capa con baldio,
687,L-06-756,len,privado,baldio/zona de reserva,,,
688,Q-01-426,qro,publico,equipamiento urbano,canal,,
689,L-02-929,len,privado,agricola/cultivo,,,
690,L-05-607,len,privado,baldio/zona de reserva,,,
691,L-01-895,len,privado,baldio/zona de reserva,,,
692,Q-00-137,qro,privado,baldio/zona de reserva,arroyo,arbolado,
693,L-06-531,len,privado,jardin residencial,campestre,,
694,Q-06-388,qro,privado,parque,residencial,,
695,L-06-787,len,privado,agricola/cultivo,arbolado,,
696,L-02-829,len,privado,jardin institucional,residencial,,
697,Q-05-834,qro,publico,equipamiento urbano,camellón,,
698,Q-05-754,qro,privado,jardin residencial,popular,,
699,L-06-856,len,privado,jardin residencial,rural,,
700,L-09-578,len,privado,jardin residencial,rural,,
701,L-02-856,len,privado,parque,residencial,,
702,L-05-386,len,privado,jardin residencial,rural,,
703,Q-00-450,qro,privado,parque,resindencial,altozano,
704,L-10-152,len,privado,jardin institucional,comercial,bodega,
705,Q-09-396,qro,privado,baldio/zona de reserva,arroyo,arbolado,
706,L-02-056,len,privado,jardin residencial,rural,,
707,L-06-677,len,privado,baldio/zona de reserva,arbolado,,
708,Q-07-455,qro,privado,jardin residencial,residencial,departamentos,
709,L-01-833,len,privado,parque,residencial,,
710,L-01-712,len,privado,baldio/zona de reserva,arbolado,borde presa,
711,Q-10-193,qro,privado,jardin residencial,rural,,
712,L-07-127,len,privado,baldio/zona de reserva,arbolado,,
713,Q-01-714,qro,privado,equipamiento urbano,residencial,,
714,L-09-281,len,privado,jardin residencial,rural,,
715,Q-02-446,qro,privado,baldio/zona de reserva,arroyo,,
716,L-03-877,len,privado,baldio/zona de reserva,,,
717,L-02-813,len,privado,jardin residencial,,,
718,L-00-513,len,privado,baldio/zona de reserva,arroyo,,
719,L-07-262,len,privado,jardin residencial,campestre,,
720,Q-05-418,qro,privado,jardin institucional,comercial,recicladora,
721,L-04-189,len,privado,jardin residencial,popular,,
722,Q-02-286,qro,publico,parque,deportiva,,
723,L-05-203,len,privado,baldio/zona de reserva,arroyo,,
724,L-09-208,len,privado,baldio/zona de reserva,arbolado,,
725,L-09-027,len,privado,jardin institucional,comercial,granja vacas,
726,L-10-365,len,privado,jardin institucional,escuela,,
727,Q-04-060,qro,privado,jardin residencial,,,
728,Q-03-222,qro,privado,jardin residencial,rural,,
729,Q-03-009,qro,privado,equipamiento urbano,residencial,en construcción,
730,Q-09-753,qro,privado,jardin institucional,comercial,salón de fiestas,
731,Q-10-903,qro,privado,jardin residencial,rural,,
732,L-00-866,len,publico,equipamiento urbano,camellón,,
733,L-07-085,len,privado,baldio/zona de reserva,,,
734,L-01-569,len,privado,baldio/zona de reserva,arroyo,,
735,L-06-754,len,privado,baldio/zona de reserva,,,
736,Q-06-017,qro,privado,baldio/zona de reserva,,,
737,L-07-976,len,privado,jardin residencial,campestre,,
738,Q-05-732,qro,privado,jardin institucional,industrial,,
739,Q-10-575,qro,privado,agricola/cultivo,,,
740,Q-02-049,qro,privado,parque,residencial,,
741,L-10-254,len,privado,jardin residencial,rural,,
742,L-02-205,len,privado,baldio/zona de reserva,,borde presa,
743,Q-07-260,qro,privado,jardin residencial,,,
744,Q-01-201,qro,publico,parque,,,
745,L-07-350,len,privado,jardin residencial,,,
746,Q-03-553,qro,privado,jardin residencial,rural,,
747,L-08-379,len,privado,baldio/zona de reserva,arbolado,,
748,L-07-182,len,privado,jardin residencial,,,
749,Q-02-328,qro,privado,baldio/zona de reserva,,,
750,Q-05-801,qro,privado,jardin residencial,campestre,,
751,L-05-093,len,privado,baldio/zona de reserva,,,
752,L-00-522,len,publico,equipamiento urbano,deportivo,deportivo juventudes,
753,L-05-168,len,privado,jardin institucional,escuela,,
754,Q-08-151,qro,privado,jardin institucional,comercial,central park,
755,Q-08-397,qro,privado,jardin residencial,,,
756,Q-05-223,qro,privado,jardin institucional,industrial,,
757,Q-01-445,qro,privado,parque,residencial,,
758,L-00-975,len,privado,baldio/zona de reserva,,,
759,Q-08-430,qro,privado,jardin institucional,industrial,,
760,Q-00-098,qro,privado,jardin institucional,industrial,,
761,Q-05-840,qro,privado,jardin residencial,,,
762,Q-01-106,qro,privado,baldio/zona de reserva,arroyo,,
763,Q-07-241,qro,privado,baldio/zona de reserva,residencial,,
764,Q-07-877,qro,privado,deportivo,,campo de beisbol,
765,L-05-164,len,privado,baldio/zona de reserva,arbolado,,
766,L-09-757,len,privado,jardin institucional,escuela,,
767,Q-07-500,qro,privado,parque,residencial,,
768,L-03-380,len,privado,jardin residencial,,,
769,Q-06-947,qro,privado,baldio/zona de reserva,arbolado,,
770,L-09-464,len,privado,baldio/zona de reserva,arbolado,,
771,L-08-664,len,privado,jardin institucional,planta de tratamiento,aeropuerto BJX,
772,L-07-211,len,privado,jardin residencial,campestre,,
773,Q-08-540,qro,privado,jardin residencial,,,
774,L-04-904,len,privado,jardin institucional,escuela,CECyTec,
775,L-09-875,len,privado,jardin institucional,escuela,,
776,Q-02-599,qro,privado,agricola/cultivo,,,
777,Q-10-630,qro,privado,agricola/cultivo,,,
778,Q-09-533,qro,privado,jardin residencial,rural,,
779,Q-03-771,qro,privado,jardin residencial,,,
780,L-03-911,len,privado,baldio/zona de reserva,arbolado,,
781,Q-07-771,qro,privado,jardin institucional,planta de tratamiento,CEAG,
782,L-03-712,len,privado,jardin institucional,escuela,,
783,Q-00-559,qro,privado,parque,residencial,,
784,Q-00-216,qro,privado,baldio/zona de reserva,,,
785,L-06-948,len,privado,agricola/cultivo,,,
786,L-05-474,len,privado,agricola/cultivo,,,
787,L-01-708,len,publico,parque,deportivo,,
788,Q-02-219,qro,publico,equipamiento urbano,,,
789,Q-05-971,qro,privado,baldio/zona de reserva,,,
790,L-04-302,len,privado,parque,residencial,,
791,Q-07-161,qro,privado,jardin residencial,,,
792,L-05-952,len,privado,jardin residencial,campestre,,
793,Q-07-409,qro,privado,jardin residencial,popular,,
794,L-03-403,len,publico,equipamiento urbano,arbolado,,
795,L-01-217,len,privado,parque,residencial,,
796,Q-06-327,qro,privado,jardin institucional,comercial,salón de fiestas,
797,L-07-058,len,privado,jardin institucional,comercial,bodega,
798,Q-09-977,qro,privado,jardin residencial,rural,,
799,Q-08-683,qro,privado,baldio/zona de reserva,,,
800,L-02-956,len,privado,jardin institucional,escuela,,
801,Q-06-957,qro,privado,baldio/zona de reserva,arbolado,,
802,L-06-585,len,privado,jardin residencial,campestre,,
803,Q-05-280,qro,privado,jardin residencial,campestre,,
804,L-00-121,len,publico,equipamiento urbano,canal,,
805,Q-02-252,qro,privado,baldio/zona de reserva,,,
806,Q-06-548,qro,privado,jardin residencial,,se mezcla capa con baldio,
807,L-10-319,len,privado,jardin residencial,rural,,
808,L-03-972,len,privado,agricola/cultivo,arbolado,,
809,NA,NA,,,,,
810,Q-03-914,qro,privado,jardin residencial,,,
811,L-09-641,len,privado,baldio/zona de reserva,arroyo,arbolado,
812,Q-00-058,qro,publico,equipamiento urbano,canal,,
813,L-06-061,len,privado,jardin residencial,rural,,
814,L-00-330,len,publico,equipamiento urbano,glorieta,arbolado,
815,L-09-931,len,privado,baldio/zona de reserva,,,
816,Q-02-946,qro,privado,jardin institucional,comercial,bodega,
817,L-04-964,len,privado,jardin institucional,escuela,,
818,L-03-644,len,privado,jardin residencial,,posibles paneles solares,
819,L-02-174,len,privado,jardin residencial,rural,,
820,Q-03-239,qro,privado,equipamiento urbano,residencial,arbolado vivienda particular,
821,Q-00-604,qro,privado,equipamiento urbano,campestre,arbolado vivienda particular,
822,L-01-511,len,privado,jardin residencial,rural,,
823,L-08-571,len,privado,jardin residencial,rural,,
824,L-07-306,len,privado,baldio/zona de reserva,arbolado,,
825,Q-10-571,qro,privado,jardin residencial,campestre,,
826,Q-06-501,qro,privado,jardin residencial,popular,,
827,Q-09-159,qro,privado,jardin institucional,escuela,,
828,Q-09-793,qro,privado,jardin institucional,comercial,salón de fiestas y bodegas,
829,Q-02-438,qro,privado,baldio/zona de reserva,,,
830,L-09-740,len,privado,jardin institucional,comercial,bodega,
831,Q-10-377,qro,privado,jardin residencial,rural,,
832,L-05-804,len,privado,baldio/zona de reserva,arbolado,,
833,Q-09-799,qro,privado,jardin institucional,comercial,bodega,
834,Q-07-344,qro,privado,parque,residencial,en construcción,
835,L-09-917,len,privado,jardin institucional,comercial,bodega,
836,L-03-464,len,publico,parque,deportivo,,
837,L-06-266,len,privado,baldio/zona de reserva,arbolado,,
838,Q-05-185,qro,privado,jardin residencial,,,
839,Q-05-441,qro,privado,jardin residencial,rural,,
840,L-00-498,len,publico,equipamiento urbano,canal,,
841,Q-08-286,qro,privado,jardin residencial,rural,,
842,Q-02-637,qro,privado,baldio/zona de reserva,rural,,
843,L-05-143,len,privado,agricola/cultivo,,,
844,Q-05-639,qro,privado,jardin institucional,escuela,,
845,Q-00-170,qro,privado,baldio/zona de reserva,arbolado,,
846,L-06-835,len,privado,baldio/zona de reserva,arroyo,arbolado,
847,L-07-779,len,privado,baldio/zona de reserva,arbolado,,
848,Q-02-584,qro,privado,baldio/zona de reserva,arroyo,arbolado,
849,L-09-125,len,privado,jardin residencial,,,
850,Q-01-062,qro,privado,baldio/zona de reserva,arroyo,,
851,L-07-591,len,privado,baldio/zona de reserva,arroyo,arbolado,
852,Q-09-819,qro,privado,jardin residencial,rural,,
853,Q-04-707,qro,privado,jardin residencial,popular,,
854,Q-06-674,qro,privado,jardin residencial,popular,,
855,L-04-662,len,privado,jardin residencial,campestre,,
856,Q-07-475,qro,privado,baldio/zona de reserva,residencial,,
857,Q-06-182,qro,privado,jardin residencial,,,
858,L-01-018,len,privado,baldio/zona de reserva,,,
859,L-08-025,len,privado,jardin institucional,escuela,Conalep,
860,L-04-880,len,privado,jardin residencial,rural,,
861,L-02-084,len,privado,baldio/zona de reserva,residencial,se mezcla la capa con jardín residencial ,
862,L-05-697,len,privado,jardin residencial,campestre,,
863,Q-08-586,qro,privado,jardin institucional,industrial,,
864,Q-09-615,qro,privado,baldio/zona de reserva,residencial,,
865,L-08-029,len,privado,equipamiento urbano,industrial,,
866,L-04-236,len,privado,parque,residencial,,
867,L-03-931,len,privado,jardin institucional,industrial,fabrica zapatos,
868,Q-02-335,qro,privado,parque,residencial,,
869,L-08-085,len,privado,equipamiento urbano,comercial,granja y bodega,
870,Q-01-378,qro,privado,baldio/zona de reserva,,,
871,Q-02-024,qro,privado,jardin residencial,departamentos,,
872,Q-04-328,qro,privado,baldio/zona de reserva,,,
873,Q-06-601,qro,privado,parque,residencial,,
874,Q-09-878,qro,privado,jardin residencial,rural,,
875,Q-05-786,qro,privado,jardin institucional,industrial,,
876,L-07-803,len,privado,baldio/zona de reserva,arbolado,,
877,Q-05-273,qro,privado,jardin residencial,campestre,,
878,L-05-742,len,privado,jardin residencial,campestre,,
879,L-00-103,len,privado,baldio/zona de reserva,,,
880,Q-01-945,qro,privado,baldio/zona de reserva,planta de tratamiento,CEA,
881,Q-02-147,qro,privado,baldio/zona de reserva,arbolado,,
882,Q-06-933,qro,privado,jardin institucional,escuela,,
883,Q-00-626,qro,privado,agricola/cultivo,agostadero,reserva de agua,
884,Q-08-477,qro,privado,parque,residencial,,
885,Q-07-722,qro,privado,jardin residencial,,,
886,L-00-444,len,privado,equipamiento urbano,residencial,,
887,Q-01-891,qro,privado,baldio/zona de reserva,,,
888,L-01-351,len,privado,baldio/zona de reserva,arroyo,,
889,L-04-141,len,privado,jardin institucional,escuela,se mezcla capa con jardines residenciales,
890,Q-06-360,qro,publico,equipamiento urbano,canal,,
891,Q-05-555,qro,privado,baldio/zona de reserva,arbolado,,
892,L-03-168,len,privado,parque,residencial,,
893,L-08-187,len,privado,baldio/zona de reserva,,,
894,Q-10-752,qro,privado,baldio/zona de reserva,,,
895,L-03-974,len,privado,baldio/zona de reserva,residencial,arbolado,
896,L-01-003,len,privado,baldio/zona de reserva,arroyo,arbolado,
897,L-07-786,len,privado,jardin residencial,campestre,,
898,L-05-884,len,privado,jardin residencial,campestre,,
899,Q-05-572,qro,privado,jardin institucional,industrial,,
900,Q-10-076,qro,privado,jardin residencial,rural,,
901,Q-07-806,qro,privado,baldio/zona de reserva,industrial,patio de servicios,
902,L-04-883,len,publico,parque,deportivo,COMUDE,
903,Q-10-136,qro,privado,jardin institucional,Cultural,"Obervatorio Ilalux, comparte capa con jardines residenciales rurales",
904,Q-05-156,qro,privado,jardin residencial,rural,,
905,Q-07-990,qro,privado,jardin institucional,industrial,,
906,Q-01-639,qro,publico,parque,,,
907,L-03-576,len,privado,jardin residencial,departamentos,en construcción,
908,Q-09-913,qro,privado,baldio/zona de reserva,rural,,
909,L-08-250,len,privado,jardin residencial,rural,,
910,L-01-212,len,publico,equipamiento urbano,arbolado calle,,
911,L-07-392,len,privado,jardin residencial,rural,,
912,Q-09-480,qro,privado,baldio/zona de reserva,arbolado,,
913,Q-01-295,qro,privado,jardin institucional,industrial,,
914,Q-03-163,qro,privado,jardin residencial,rural,,
915,L-09-203,len,privado,jardin residencial,rural,capa se mezcla con baldio,
916,L-07-220,len,privado,jardin residencial,campestre,,
917,L-06-130,len,privado,baldio/zona de reserva,arbolado,,
918,Q-04-021,qro,privado,jardin institucional,comercial,bodega,
919,L-02-179,len,privado,agricola/cultivo,,,
920,Q-01-937,qro,privado,baldio/zona de reserva,arbolado,,
921,L-09-488,len,privado,baldio/zona de reserva,arbolado,se mezcla con jardines residenciales rurales,
922,L-07-940,len,privado,jardin residencial,campestre,,
923,Q-02-622,qro,privado,baldio/zona de reserva,arbolado,,
924,L-02-154,len,publico,parque,arbolado,estacionamiento parque metropolitano León,
925,Q-04-024,qro,privado,deportivo,arbolado,Unidad deportiva juriqulla UNAM,
926,Q-05-246,qro,,,,paneles solares,
927,Q-05-291,qro,privado,parque,residencial,,
928,L-09-450,len,privado,baldio/zona de reserva,arroyo,arbolado,
929,Q-04-867,qro,privado,jardin residencial,rural,,
930,L-03-106,len,privado,baldio/zona de reserva,,,
931,L-04-459,len,privado,jardin residencial,residencial,,
932,NA,NA,,,,,
933,Q-03-745,qro,privado,jardin residencial,,,
934,L-03-893,len,privado,jardin residencial,,,
935,L-04-038,len,privado,jardin residencial,departamentos,,
936,L-01-159,len,privado,jardin residencial,rural,,
937,Q-08-975,qro,,,,,
938,Q-00-826,qro,privado,jardin institucional,deportivo,cub de polo,
939,Q-06-041,qro,privado,jardin residencial,,,
940,L-03-848,len,privado,jardin residencial,,,
941,Q-04-590,qro,privado,baldio/zona de reserva,arbolado,,
942,Q-02-353,qro,privado,equipamiento urbano,residencial,,
943,Q-10-830,qro,privado,agricola/cultivo,arbolado,se mezcla la capa con jardines residenciales rurales,
944,L-07-797,len,privado,agricola/cultivo,arbolado,,
945,Q-02-716,qro,privado,jardin residencial,rural,,
946,L-06-333,len,privado,jardin residencial,,,
947,L-04-802,len,privado,jardin residencial,popular,posible palapa de fiestas,
948,L-06-471,len,privado,jardin institucional,industrial,Reyma,
949,L-05-298,len,privado,jardin residencial,,,
950,L-07-825,len,privado,jardin residencial,rural,,
951,L-09-660,len,privado,jardin institucional,comercial,patio de servicios bodegas,
952,Q-04-576,qro,privado,jardin residencial,,,
953,Q-08-904,qro,privado,deportivo,arbolado,,
954,Q-05-713,qro,privado,jardin residencial,departamentos,,
955,Q-07-006,qro,privado,baldio/zona de reserva,,toma parte de panteón,
956,Q-03-086,qro,privado,baldio/zona de reserva,arbolado,,
957,Q-10-844,qro,privado,baldio/zona de reserva,arbolado,,
958,L-05-733,len,privado,baldio/zona de reserva,arbolado,,
959,L-06-505,len,privado,jardin residencial,rural,,
960,L-04-892,len,privado,baldio/zona de reserva,arbolado,Toyota,
961,L-08-860,len,privado,baldio/zona de reserva,,,
962,Q-00-009,qro,privado,baldio/zona de reserva,arroyo,arbolado,
963,Q-07-523,qro,privado,jardin institucional,militar,campo militar,
964,Q-03-230,qro,privado,jardin residencial,rural,,
965,L-01-885,len,privado,jardin residencial,campestre,Posible salon de fiestas o deportivo privado,
966,L-06-881,len,privado,baldio/zona de reserva,arbolado,,
967,L-08-554,len,privado,baldio/zona de reserva,,predio campestre sin construccción,
968,L-01-398,len,privado,jardin residencial,rural,,
969,Q-08-156,qro,privado,baldio/zona de reserva,,,
970,Q-06-480,qro,privado,jardin residencial,popular,,
971,Q-09-902,qro,privado,jardin institucional,comercial,bodega,
972,Q-04-252,qro,privado,jardin residencial,,,
973,L-07-611,len,privado,agricola/cultivo,granja,vacas,
974,L-01-044,len,privado,agricola/cultivo,,,
975,Q-11-237,qro,privado,jardin residencial,rural,,
976,Q-07-069,qro,privado,jardin institucional,escuela,,
977,L-02-777,len,privado,baldio/zona de reserva,arbolado,,
978,L-01-077,len,privado,baldio/zona de reserva,arroyo,arbolado,
979,L-01-333,len,privado,baldio/zona de reserva,arroyo,arbolado,
